"Top 5 values of Network.keyword";"Top 50 posts";Date;Message;Parlamentar;Cargo;Bloco;Partido;"Engajamento total";"Shorts: Views(YT)";"Views (YT/TK)"
INSTAGRAM;"https://www.instagram.com/reel/DJVGbeTx7Yg/";"2025-05-06 20:04:39.000";"O maior escândalo da história do Brasil - veja até o final.";"Nikolas Ferreira";deputado;"Oposição";PL;5768012;null;0
INSTAGRAM;"https://www.instagram.com/reel/DJ5XDcnsjxp/";"2025-05-20 21:55:52.000";"Kkkkkkkkkkk todos nós ????";"Nikolas Ferreira";deputado;"Oposição";PL;1821732;null;0
INSTAGRAM;"https://www.instagram.com/reel/DJcE6-aR3qQ/";"2025-05-09 12:59:34.000";"Fim de papo ????";"Nikolas Ferreira";deputado;"Oposição";PL;1531447;null;0
INSTAGRAM;"https://www.instagram.com/reel/DK0YZgIMK9X/";"2025-06-12 20:05:28.000";"Brasil, 2025 - um resumo.";"Nikolas Ferreira";deputado;"Oposição";PL;990097;null;0
INSTAGRAM;"https://www.instagram.com/reel/DJPHnqMxvF7/";"2025-05-04 12:14:25.000";"Tá osso ??";"Nikolas Ferreira";deputado;"Oposição";PL;865087;null;0
INSTAGRAM;"https://www.instagram.com/reel/DIzrwbasfj0/";"2025-04-23 20:32:53.000";"E vai ter gnt defendendo ainda ????";"Nikolas Ferreira";deputado;"Oposição";PL;798346;null;0
INSTAGRAM;"https://www.instagram.com/reel/DKkG0lLODkS/";"2025-06-06 12:26:47.000";"SEXTOU! DIA DE BLITZ! 

Já que maioria  dos pátios não abrem de fds e feriado, isso  é um prato cheio para o ESTADO GULOSÃO fazer  blitz e apreender carros e motos  de trabalhador em horário comercial. 

Tenho projeto de lei para acabar com isso! 

O sistema ferr4 vc? Nos ferram0s o sistema 

projetocidadaodobem";"Delegado Palumbo";deputado;Centro;MDB;743554;null;0
INSTAGRAM;"https://www.instagram.com/reel/DKNojwgSqiK/";"2025-05-28 18:55:48.000";"✊?? VIVA MARINA SILVA!

Pude estar hoje com a nossa Ministra do Meio Ambiente, Marina Silva, que ontem foi novamente alvo de ataques, do machismo e da brutalidade que tem dominado nosso Congresso.

Marina Silva não foi atacada por ter posições políticas diferentes dos senadores.

Ela foi atacada por sua integridade. E nota-se que o que tentaram ferir, em vão, é justamente essa integridade.

Pois Marina é alguém que não se cala perante o avanço do PL da Devastação, não se cala perante as organizações criminosas dos garimpos e das queimadas na Amazônia, não se cala perante a destruição dos nossos outros biomas. 

Assim como não se calou quando um dos senadores que a atacou disse, em março, querer enforcá-la.

E ontem, os senadores Marcos Rogério (PL) e Plínio Valério (PSDB) se depararam com uma mulher, Ministra de Estado, defensora do meio ambiente, com mais integridade do que bancadas partidárias inteiras e não souberam como agir. Lhes restou a violência.

E o povo do nosso país se deparou com o nosso senado se apequenando pela segunda semana seguida, enquanto Marina mostrou-se a gigante que é e que sempre foi.

Viva MarinaSilvaOficial, viva o nosso meio ambiente e NÃO ao #PLdaDevastação.";"Erika Hilton";deputado;Governo;PSOL;526015;null;0
INSTAGRAM;"https://www.instagram.com/reel/DJ7vTBGMB_f/";"2025-05-21 21:04:39.000";"Precisamos BUKELIZAR o Brasil.";"Nikolas Ferreira";deputado;"Oposição";PL;512808;null;0
INSTAGRAM;"https://www.instagram.com/p/DK0K4QoSOX7/";"2025-06-12 18:04:12.000";"Dia dos Namorados pode parecer uma data boba, uma invenção do comércio pra vender, consumir, e que muitas vezes é esvaziado do que é mais importante: celebrar ao lado de quem a gente ama.

Para corpos iguais aos nossos o amor nem sempre foi uma possibilidade, por isso, hoje não celebro somente o dia dos namorados, celebro o amor que é construído dia a dia em cada gesto, cuidado e até nas desavenças (q quase nunca temos??????) 

MEU AMOR, obrigada por ser e estar sempre. 
Obrigada por ser abrigo em meio a tantas tempestades.

Já disse mas nunca cansarei de repetir, você é uma das pessoas mais lindas, foda e especial que já cruzaram a minha vida.

Te amar e bom, é leve…
e eu quero poder te amar por muito tempo e construir lindas memórias juntinhos.

Feliz dia pra gente, danizezza 

Feliz dia dos namorados a todos os casais LGBTQIA+ ??️‍????️‍⚧️

Afinal, Dia dos Namorados também é um dia de visibilidade, de resistência, de luta. ❤️";"Erika Hilton";deputado;Governo;PSOL;495500;null;0
INSTAGRAM;"https://www.instagram.com/p/DI1ZguaRecz/";"2025-04-24 12:28:31.000";"MEU PROJETO VIROU LEI! PROTEÇÃO PARA AS MÃES CIENTISTAS ??

Hoje tive a alegria de estar com o Presidente LulaOficial para a sanção do meu Projeto que protege mães cientistas de discriminação na seleção de bolsas de estudo e de pesquisa. 

Com a nova Lei, as mães, gestantes, puérperas e aquelas que estão no processo de adoção não poderão ser vítimas de critérios discriminatórios nos processos seletivos de bolsas de estudo e pesquisa das instituições de ensino superior e agências de fomento.

A proibição desses critérios é essencial, é um orgulho para mim ser autora deste Projeto e agradeço o Presidente Lula pela sanção.

Assim como o agradeço pela defesa firme que fez hoje da nossa soberania e das minhas prerrogativas enquanto parlamentar brasileira em relação ao horror praticado contra mim pela Embaixada dos EUA.

Fotos por RicardoStuckert.";"Erika Hilton";deputado;Governo;PSOL;389538;null;0
INSTAGRAM;"https://www.instagram.com/reel/DKxZ3L3RDpd/";"2025-06-11 16:34:25.000";"Haddad vem, sorri e debocha como se o Brasil caminhasse bem - mas a realidade é uma só.";"Nikolas Ferreira";deputado;"Oposição";PL;372321;null;0
INSTAGRAM;"https://www.instagram.com/reel/DJmXGdjgEwF/";"2025-05-13 12:59:20.000";"Sobre a polêmica da minha participação na CPI das bets com a influencer virginia está aí a minha fala na íntegra.";Cleitinho;senador;Centro;REPUBLICANOS;354905;null;0
INSTAGRAM;"https://www.instagram.com/reel/DKzf6-bM_4d/";"2025-06-12 11:53:25.000";"Fica a dica ????♥️";"Nikolas Ferreira";deputado;"Oposição";PL;354516;null;0
INSTAGRAM;"https://www.instagram.com/p/DIgb8R7xpKV/";"2025-04-16 09:05:42.000";"Sim, é verdade. Fui classificada como do “sexo masculino” pelo governo dos EUA quando fui tirar meu visto para ir à Brazil Conference, na Universidade de Harvard e no MIT.

Não me surpreende. Isso já está acontecendo nos documentos de pessoas trans dos EUA faz algumas semanas.

Não me surpreende também o nível do ódio e a fixação dessa gente com pessoas trans. Afinal, os documentos que apresentei são retificados, e sou registrada como mulher inclusive na certidão de nascimento.

Ou seja, estão ignorando documentos oficiais de outras nações soberanas, até mesmo de uma representante diplomática, para ir atrás de descobrir se a pessoa, em algum momento, teve um registro diferente.

Mas, no fim do dia, sou uma cidadã brasileira, e tenho meus direitos garantidos e minha existência respeitada pela nossa própria constituição, legislação e jurisprudência.

E, se a embaixada dos EUA tem algo a falar sobre mim, que falem baixo, dentro do prédio deles. Cercado, de todos os lados, pelo nosso Estado Democrático de Direito.

O que me preocupa é um país estar ignorando documentos oficiais acerca da existência dos próprios cidadãos, e alterando-os conforme a narrativa e os desejos de retirada de direitos do Presidente da vez.

Porque isso não vai parar em nós ou atingir apenas as pessoas trans, a lista de alvos dessa gente é imensa.

Ela já estava sendo escrita quando o primeiro escravizado foi liberto, quando a primeira mulher votou, quando os trabalhadores exigiram o primeiro aumento de salário, quando os indígenas reivindicaram o direito ao próprio território, quando um latino tentou ter de volta um pouco do que lhe foi roubado.

E essa lista de alvos continua crescendo, e faz parte de uma agenda política de ódio global, que também não para nos EUA.

Mas, aqui no Brasil, é uma agenda política de ódio que já derrotamos uma vez. E derrotaremos quantas vezes forem necessárias.";"Erika Hilton";deputado;Governo;PSOL;352021;null;0
INSTAGRAM;"https://www.instagram.com/p/DJcXc3RPKWK/";"2025-05-09 15:40:54.000";"A FOTO DOS GOATS! ??

O Encontro entre dois homens que fizeram história na Espanha, em breve na RomárioTV! ??

SIGUE A ROMÁRIOTV! ??

#RomárioTV";"Romário";senador;"Oposição";PL;333264;null;0
INSTAGRAM;"https://www.instagram.com/reel/DJX1lAyML7G/";"2025-05-07 21:29:49.000";VITORIAAAAAAAA;"Gustavo Gayer";deputado;"Oposição";PL;327481;null;0
